日付,平均気温,最高気温,最低気温
2019/3/14,8.4,14.3,3.3
2019/3/15,9.7,15.0,4.1
2019/3/16,8.9,13.9,6.4
2019/3/17,9.1,15.3,3.5
2019/3/18,9.7,14.5,4.1
2019/3/19,13.2,19.2,6.3
2019/3/20,15.0,21.5,8.5
2019/3/21,17.7,22.3,13.9
2019/3/22,16.2,23.9,8.7
2019/3/23,7.1,9.0,4.4
2019/3/24,8.2,15.4,1.1
2019/3/25,9.9,15.0,3.9
2019/3/26,11.9,15.9,9.7
2019/3/27,14.2,19.7,7.3
2019/3/28,13.6,16.9,9.0
2019/3/29,7.7,9.3,6.8
2019/3/30,8.7,11.7,7.2
2019/3/31,10.5,16.3,7.3
2019/4/1,8.8,16.2,4.2
2019/4/2,7.2,13.1,2.3
2019/4/3,8.1,14.1,2.7
2019/4/4,10.6,16.7,3.4
2019/4/5,15.4,22.5,6.7
2019/4/6,15.9,21.6,11.0
2019/4/7,15.5,21.6,10.4
2019/4/8,9.3,14.8,5.9
2019/4/9,10.3,16.9,4.3
2019/4/10,5.7,10.2,3.6
2019/4/11,10.4,16.7,4.4
2019/4/12,9.6,12.6,7.5
2019/4/13,12.1,18.2,5.5
2019/4/14,14.7,18.3,9.7
2019/4/15,16.0,22.7,11.6
2019/4/16,15.3,21.0,10.1
2019/4/17,15.5,19.5,11.0
2019/4/18,17.5,23.5,13.4
2019/4/19,18.3,23.6,14.3
2019/4/20,14.2,19.1,9.8
2019/4/21,17.5,23.1,12.2
2019/4/22,19.2,25.6,14.4
2019/4/23,18.7,23.3,15.3
2019/4/24,19.1,20.6,17.5
2019/4/25,20.3,24.3,18.1
2019/4/26,11.6,20.0,9.5
2019/4/27,10.2,13.2,8.0
2019/4/28,12.6,18.7,6.0
2019/4/29,14.8,19.8,10.5
2019/4/30,14.8,17.4,12.8
2019/5/1,17.4,23.4,14.3
2019/5/2,17.3,23.9,13.8
2019/5/3,18.5,25.0,11.0
2019/5/4,18.4,24.8,14.1
2019/5/5,18.9,25.2,12.5
2019/5/6,18.8,22.1,15.1
2019/5/7,15.3,20.9,10.8
2019/5/8,16.5,22.7,7.9
2019/5/9,18.6,22.7,14.3
2019/5/10,20.6,27.1,13.9
2019/5/11,20.9,27.8,15.3
2019/5/12,17.6,22.2,14.5
2019/5/13,17.7,22.6,13.3
2019/5/14,17.9,19.3,16.1
2019/5/15,18.7,23.8,15.7
2019/5/16,20.0,24.6,16.0
2019/5/17,20.0,25.9,15.3
2019/5/18,20.3,25.6,15.6
2019/5/19,20.5,25.2,17.5
2019/5/20,20.5,25.0,16.5
2019/5/21,19.4,21.9,16.3
2019/5/22,19.4,25.2,14.1
2019/5/23,21.3,27.0,15.2
2019/5/24,23.1,31.0,16.4
2019/5/25,24.4,31.9,17.0
2019/5/26,25.2,32.6,18.6
2019/5/27,26.1,32.4,19.9
2019/5/28,23.5,28.1,19.1
2019/5/29,20.2,25.1,16.8
2019/5/30,21.2,26.0,16.6
2019/5/31,21.6,24.2,19.5
2019/6/1,21.8,25.7,18.6
2019/6/2,22.0,25.0,19.0
2019/6/3,22.2,27.0,18.7
2019/6/4,22.4,27.7,17.6
2019/6/5,22.6,25.8,20.0
2019/6/6,25.2,32.3,18.7
2019/6/7,21.0,23.4,19.0
2019/6/8,20.8,25.4,18.7
2019/6/9,17.5,20.7,15.9
2019/6/10,16.2,17.4,14.9
2019/6/11,18.3,23.6,15.0
2019/6/12,18.0,21.5,14.5
2019/6/13,20.7,26.4,13.9
2019/6/14,22.2,26.8,17.7
2019/6/15,17.3,20.9,16.2
2019/6/16,23.5,30.7,16.9
2019/6/17,23.6,28.7,17.4
2019/6/18,23.4,27.7,20.0
2019/6/19,23.5,28.6,18.8
2019/6/20,24.1,29.1,21.1
2019/6/21,24.6,29.5,22.3
2019/6/22,22.2,25.3,20.6
2019/6/23,21.4,24.0,19.6
2019/6/24,19.1,21.0,17.8
2019/6/25,22.3,27.3,17.2
2019/6/26,24.7,28.9,20.4
2019/6/27,25.6,28.7,22.8
2019/6/28,25.2,30.7,21.4
2019/6/29,20.2,21.5,19.0
2019/6/30,21.6,23.6,20.3
2019/7/1,22.7,24.3,21.0
2019/7/2,23.8,28.1,21.5
2019/7/3,24.9,29.1,22.2
2019/7/4,22.7,25.2,19.9
2019/7/5,21.9,24.5,19.0
2019/7/6,21.0,23.7,19.2
2019/7/7,19.2,20.8,17.9
2019/7/8,20.3,24.8,17.7
2019/7/9,19.7,21.8,18.5
2019/7/10,21.0,24.8,18.5
2019/7/11,19.9,23.6,17.9
2019/7/12,20.2,21.9,18.2
2019/7/13,23.4,27.3,20.0
2019/7/14,21.3,22.5,20.2
2019/7/15,21.3,25.0,19.4
2019/7/16,20.5,22.1,19.0
2019/7/17,23.9,28.7,20.3
2019/7/18,25.6,29.7,22.2
2019/7/19,26.7,31.4,23.0
2019/7/20,26.5,29.5,24.4
2019/7/21,25.0,28.2,22.7
2019/7/22,22.7,24.0,21.6
2019/7/23,24.5,29.3,22.4
2019/7/24,26.8,31.6,23.7
2019/7/25,28.0,32.4,24.4
2019/7/26,28.5,33.1,25.6
2019/7/27,28.0,31.4,25.1
2019/7/28,27.7,32.3,25.0
2019/7/29,29.0,33.7,25.3
2019/7/30,29.5,33.6,26.0
2019/7/31,30.0,34.6,26.5
2019/8/1,30.5,35.0,26.3
2019/8/2,30.2,35.1,27.1
